epoch,accuracy,loss
0,0.60364777,0.6624560777458399
1,0.61114174,0.6545353419577888
2,0.6145581,0.6526509952198337
3,0.6162112,0.6522185760945352
4,0.615605,0.6512628532149651
5,0.6174234,0.6500250240609277
6,0.6149989,0.6494051206077751
7,0.6163214,0.6483186337294651
8,0.6170377,0.6478949571091986
9,0.61913157,0.6457584408022166
10,0.61637646,0.6448708147841822
11,0.61874586,0.6426768869798772
12,0.62089485,0.6417522419909956
13,0.6238153,0.6396995926181834
14,0.6238153,0.6379793003211338
Test: ,0.6492164
