step,loss
0.0,0.5139588713645935
1.0,0.46665123105049133
2.0,0.49763762950897217
3.0,0.42043450474739075
4.0,0.4188210666179657
5.0,0.37704724073410034
6.0,0.34075310826301575
7.0,0.2960057556629181
8.0,0.3037008047103882
9.0,0.2699975073337555
10.0,0.22109809517860413
11.0,0.16347430646419525
12.0,0.1589363068342209
13.0,0.13029973208904266
14.0,0.079936183989048
15.0,0.07067476958036423
16.0,0.0410054549574852
17.0,0.028492949903011322
18.0,0.014574028551578522
19.0,0.012754012830555439
20.0,0.011941693723201752
21.0,0.012527909129858017
22.0,0.023630430921912193
23.0,0.030866418033838272
24.0,0.02675020508468151
25.0,0.025813424959778786
26.0,0.023219145834445953
27.0,0.022639604285359383
28.0,0.01659170538187027
29.0,0.025691334158182144
30.0,0.013672947883605957
31.0,0.012966891750693321
32.0,0.010051030665636063
33.0,0.010319971479475498
34.0,0.0067560914903879166
35.0,0.0073043168522417545
36.0,0.007320391479879618
37.0,0.004843154456466436
38.0,0.007667685858905315
39.0,0.008874593302607536
40.0,0.009244364686310291
41.0,0.0075534312054514885
42.0,0.007696428336203098
43.0,0.0039028581231832504
44.0,0.007537975907325745
45.0,0.0063000931404531
46.0,0.008673058822751045
47.0,0.006857496686279774
48.0,0.007690539583563805
49.0,0.004914423916488886
50.0,0.0066057173535227776
51.0,0.006238991394639015
52.0,0.0053131128661334515
53.0,0.0038733226247131824
54.0,0.004913220182061195
55.0,0.00524721248075366
56.0,0.005200956482440233
57.0,0.0039017917588353157
58.0,0.004103587009012699
59.0,0.003790422575548291
60.0,0.005333113484084606
61.0,0.004634165205061436
62.0,0.004722589161247015
63.0,0.004327231552451849
64.0,0.0052219475619494915
65.0,0.0047291237860918045
66.0,0.004052974283695221
67.0,0.0055268509313464165
68.0,0.003869798965752125
69.0,0.0038191776257008314
70.0,0.004150955006480217
71.0,0.003134717233479023
72.0,0.0037486606743186712
73.0,0.005983737763017416
74.0,0.004886368289589882
75.0,0.0036251384299248457
76.0,0.004799840040504932
77.0,0.0062396409921348095
78.0,0.00483776954934001
79.0,0.005234077572822571
80.0,0.0024443226866424084
81.0,0.0026071362663060427
82.0,0.004582290071994066
83.0,0.004611185286194086
84.0,0.0025283785071223974
85.0,0.0026686079800128937
86.0,0.004023419227451086
87.0,0.0028278667014092207
88.0,0.005915867164731026
89.0,0.003184062894433737
90.0,0.0027103216852992773
91.0,0.0056395879946649075
92.0,0.004500650335103273
93.0,0.004378398880362511
94.0,0.0050382246263325214
95.0,0.00483072130009532
96.0,0.004570094868540764
97.0,0.004114113282412291
98.0,0.004751263651996851
99.0,0.0036322830710560083
100.0,0.004651893861591816
101.0,0.004553530365228653
102.0,0.004712116904556751
103.0,0.003700566478073597
104.0,0.003646683180704713
105.0,0.004657952580600977
106.0,0.004103804472833872
107.0,0.004341745749115944
108.0,0.0047284699976444244
109.0,0.0044383155182003975
110.0,0.004640132654458284
111.0,0.0040406472980976105
112.0,0.00443511176854372
113.0,0.004505423363298178
114.0,0.004034258890897036
115.0,0.004566479939967394
116.0,0.004453178960829973
117.0,0.0045756930485367775
118.0,0.0028937538154423237
119.0,0.0030267329420894384
120.0,0.0025915454607456923
121.0,0.003743317909538746
122.0,0.0030412673950195312
123.0,0.004323738627135754
124.0,0.004531520418822765
125.0,0.004102020990103483
126.0,0.004608210641890764
127.0,0.003999416716396809
128.0,0.0047850594855844975
129.0,0.0031994872260838747
130.0,0.0030775980558246374
131.0,0.005012098699808121
132.0,0.003229346126317978
133.0,0.0050333477556705475
134.0,0.0034843492321670055
135.0,0.003561870427802205
136.0,0.0038075114134699106
137.0,0.0035370930563658476
138.0,0.0034272512421011925
139.0,0.0032561938278377056
140.0,0.00286881229840219
141.0,0.0037406515330076218
142.0,0.004562593996524811
143.0,0.004291543271392584
144.0,0.002625662600621581
145.0,0.003684964496642351
146.0,0.003771553048864007
147.0,0.0031095233280211687
148.0,0.005272933281958103
149.0,0.0023874701000750065
150.0,0.0025749611668288708
151.0,0.00439453125
152.0,0.004755567759275436
153.0,0.0026997006498277187
154.0,0.0021698791533708572
155.0,0.003830972593277693
156.0,0.0052114310674369335
157.0,0.005085305776447058
158.0,0.0035935083869844675
159.0,0.0046122437343001366
160.0,0.004429164342582226
161.0,0.004556718748062849
162.0,0.004922235384583473
163.0,0.00450322637334466
164.0,0.0033262569922953844
165.0,0.004717839881777763
166.0,0.002870280062779784
167.0,0.0040308632887899876
168.0,0.0033061986323446035
169.0,0.004931623116135597
170.0,0.004693552851676941
171.0,0.0023189664352685213
172.0,0.003948465920984745
173.0,0.0056184688583016396
174.0,0.0024345042183995247
175.0,0.0036895640660077333
176.0,0.003790124785155058
177.0,0.0034799694549292326
178.0,0.00447772117331624
179.0,0.0038276812992990017
180.0,0.003507188055664301
181.0,0.0036173523403704166
182.0,0.004513981286436319
183.0,0.0031231355387717485
184.0,0.004740914795547724
185.0,0.004013034515082836
186.0,0.0032639012206345797
187.0,0.0034651542082428932
188.0,0.00305462209507823
189.0,0.0033832041081041098
190.0,0.0030821484979242086
191.0,0.0025393585674464703
192.0,0.003993162419646978
193.0,0.0024410923942923546
194.0,0.0035156349185854197
195.0,0.00404528621584177
196.0,0.003634728491306305
197.0,0.004000296350568533
198.0,0.004178657662123442
